Time,Open,High,Low,Last,Change,%Chg,Volume
04/28/2022,1.25419,1.25689,1.24116,1.24523,-0.00891,-0.71%,287277
04/29/2022,1.24525,1.26138,1.24494,1.25588,0.01065,+0.86%,250640
05/02/2022,1.25902,1.25964,1.24727,1.24882,-0.00706,-0.56%,209030
05/03/2022,1.24878,1.25663,1.24706,1.24943,0.00061,+0.05%,236103
05/04/2022,1.24942,1.26373,1.2452,1.26328,0.01385,+1.11%,271273
05/05/2022,1.26321,1.26337,1.2325,1.23553,-0.02775,-2.20%,315372
05/06/2022,1.23556,1.23793,1.2276,1.23355,-0.00198,-0.16%,356063
05/09/2022,1.23513,1.24055,1.22608,1.23293,-0.00062,-0.05%,282433
05/10/2022,1.2329,1.23743,1.22921,1.23114,-0.00179,-0.15%,326581
05/11/2022,1.23121,1.23995,1.22372,1.22431,-0.00683,-0.55%,331611
05/12/2022,1.22436,1.22537,1.21657,1.21966,-0.00465,-0.38%,370316
05/13/2022,1.21966,1.22608,1.2156,1.22565,0.00599,+0.49%,282281
05/16/2022,1.22377,1.2329,1.2217,1.23195,0.0063,+0.51%,261484
05/17/2022,1.23193,1.24982,1.23152,1.24913,0.01718,+1.39%,304300
05/18/2022,1.24902,1.24999,1.23295,1.23397,-0.01516,-1.21%,248725
05/19/2022,1.23396,1.25238,1.23355,1.24641,0.01244,+1.01%,348767
05/20/2022,1.24646,1.24991,1.24378,1.24887,0.00246,+0.20%,294361
05/23/2022,1.24817,1.26006,1.24722,1.25858,0.00971,+0.78%,240004
05/24/2022,1.25855,1.25977,1.24714,1.25305,-0.00553,-0.44%,291555
05/25/2022,1.25304,1.25903,1.24811,1.25623,0.00318,+0.25%,288710
05/26/2022,1.2563,1.26203,1.25516,1.26024,0.00401,+0.32%,266747
05/27/2022,1.26023,1.26658,1.25751,1.26266,0.00242,+0.19%,237084
05/30/2022,1.2612,1.26594,1.26083,1.26551,0.00285,+0.23%,198011
05/31/2022,1.2651,1.26533,1.25598,1.25983,-0.00568,-0.45%,276312
06/01/2022,1.25985,1.26158,1.24587,1.24822,-0.01161,-0.92%,248427
06/02/2022,1.2482,1.25859,1.24687,1.25722,0.009,+0.72%,206742
06/03/2022,1.25716,1.25885,1.24814,1.2484,-0.00882,-0.70%,196915
06/06/2022,1.25012,1.25767,1.24765,1.25282,0.00442,+0.35%,215285
06/07/2022,1.25274,1.25991,1.24303,1.25857,0.00575,+0.46%,271592
06/08/2022,1.25856,1.25959,1.25132,1.25313,-0.00544,-0.43%,247496
06/09/2022,1.25318,1.25571,1.24867,1.24907,-0.00406,-0.32%,298071
06/10/2022,1.24903,1.25167,1.22841,1.22926,-0.01981,-1.59%,296752
06/13/2022,1.23238,1.23242,1.21071,1.21224,-0.01702,-1.38%,353422
06/14/2022,1.21228,1.22068,1.19337,1.19941,-0.01283,-1.06%,390877
06/15/2022,1.19943,1.22038,1.19844,1.21686,0.01745,+1.45%,428664
06/16/2022,1.21693,1.24055,1.20416,1.23487,0.01801,+1.48%,432365
06/17/2022,1.23489,1.23632,1.21728,1.22178,-0.01309,-1.06%,360088
06/20/2022,1.22259,1.22797,1.21984,1.22463,0.00285,+0.23%,265586
06/21/2022,1.22466,1.23232,1.22405,1.22758,0.00295,+0.24%,276181
06/22/2022,1.22758,1.23139,1.21613,1.22536,-0.00222,-0.18%,322540
06/23/2022,1.22541,1.22938,1.217,1.22533,-3.0E-5,0.00%,351209
06/24/2022,1.22538,1.23199,1.22403,1.22697,0.00164,+0.13%,289017
06/27/2022,1.22788,1.23317,1.22378,1.22648,-0.00049,-0.04%,290390
06/28/2022,1.22647,1.22906,1.21801,1.21835,-0.00813,-0.66%,305860
06/29/2022,1.21833,1.2212,1.21058,1.2117,-0.00665,-0.55%,348657
06/30/2022,1.21174,1.2188,1.20917,1.21741,0.00571,+0.47%,336414
07/01/2022,1.21743,1.21803,1.19759,1.20937,-0.00804,-0.66%,333735
07/04/2022,1.21041,1.21647,1.20837,1.20993,0.00056,+0.05%,230481
07/05/2022,1.21027,1.21242,1.18988,1.19545,-0.01448,-1.20%,343269
07/06/2022,1.19545,1.19885,1.18756,1.19144,-0.00401,-0.34%,386346
07/07/2022,1.19151,1.2029,1.1908,1.20206,0.01062,+0.89%,330421
07/08/2022,1.20202,1.20543,1.19194,1.20148,-0.00058,-0.05%,332630
07/11/2022,1.20109,1.20358,1.18664,1.18856,-0.01292,-1.08%,302196
07/12/2022,1.18855,1.19156,1.18072,1.18859,3.0E-5,0.00%,358089
07/13/2022,1.18851,1.19666,1.18274,1.18881,0.00022,+0.02%,385037
07/14/2022,1.18879,1.18924,1.17604,1.18226,-0.00655,-0.55%,409953
07/15/2022,1.18219,1.1874,1.18047,1.18612,0.00386,+0.33%,342313
07/18/2022,1.18711,1.20326,1.18623,1.19485,0.00873,+0.74%,294120
07/19/2022,1.19488,1.20447,1.19243,1.19954,0.00469,+0.39%,306452
